ID;Edad;Sexo;Estado_Civil;Numero_Hijos;Nivel_Educativo;Zona_Vivienda;Estrato;Sector;Tamaño_Empresa;Trabajo_Turnos;Tipo_Contrato;Horas_Semana;Ingreso;Tipo_Cargo;Personas_Cargo;Años_Experiencia;Antiguedad_Cargo;Modalidad;Horas_Traslado;Horas_Formacion;CT1;CT2;CT3;PT1;PT2;PT3;PT4;CL1;CL2;CL3;CL4;CL5;CL6;CL7;AC1;AC2;AC3;CR1;CR2;CR3;CR4;CoR1;CoR2;CoR3;GC1;GC2;GC3;GC4;SM1;SM2;SM3;SM4;SM5;SAT1;SAT2;SAT3;SAT4;SAT5;SAT6;SAT7;SAT8;SAT9;IR1;IR2;IR3;IR4;FT1;FT2;FT3;FT4;FT5;TF1;TF2;TF3;TF4;TF5;BU1;BU2;BU3;BU4;BU5;BU6;BU7;BU8;BU9;BU10;BU11;BU12;BP1;BP2;BP3;BP4;BP5;BP6;BP7;BP8;BP9;BP10;SOM1;SOM2;SOM3;SOM4;SOM5;DL1;DL2;DL3;DL4;DL5;DL6;DL7;DL8;CT_prom;PT_prom;CL_prom;AC_prom;CR_prom;CoR_prom;GC_prom;SM_prom;SAT_prom;IR_prom;FT_prom;TF_prom;BU_prom;BP_prom;SOM_prom;DL_prom
11;39;Hombre;Casado;1;Profesional;Urbana;3;Público;Más de 500 empleados;No;Libre nombramiento y remocion;45;Entre 3 y 5 SMLV;Administrativo;Si;Entre 1 a 5;Entre 3 y 7 años;Presencial;Entre 2 y 3 horas;39;3;3;3;2;3;2;3;4;4;4;4;5;4;3;4;3;4;4;4;4;4;2;2;1;4;4;3;4;2;2;3;2;2;2;2;2;2;4;2;4;2;2;3;5;7;5;1;1;3;1;1;2;3;2;2;3;2;2;2;3;2;3;2;2;2;1;4;2;5;5;4;3;4;4;3;5;5;5;4;3;4;5;5;5;4;4;4;3;4;3;4;3;2.5;4;3.666666667;4;1.666666667;3.75;2.2;2.444444444;5;1.4;2.4;2.25;4.3;4.2;3.875
12;39;Hombre;Unión libre;2;Profesional;Urbana;5;Mixto;Entre 50 y 200 empleados;Si;Otro;40;Entre 1 y 3 SMLV;Operativo;Si;Entre 10 a 15;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;14;1;3;1;4;4;4;4;5;4;4;4;4;5;4;5;5;5;5;4;5;5;3;4;4;3;3;4;3;4;3;2;3;3;6;6;6;4;4;4;4;6;5;6;2;4;4;2;2;2;2;2;5;5;6;6;5;2;3;2;3;3;2;2;2;3;2;4;2;5;6;6;6;6;6;6;6;5;5;3;3;3;3;3;2;3;1;2;2;1;2;2;1.666666667;4;4.285714286;5;4.75;3.666666667;3.25;3;5;4;2;5.4;2.5;5.7;3;1.875
13;43;Hombre;Soltero;1;Posgrado;Urbana;2;Mixto;Entre 200 y 500 empleados;No;Carrera;38;Entre 1 y 3 SMLV;Operativo;No;Entre 5 a 10;Entre 3 y 7 años;Presencial;Menos de 1 hora;34;3;3;3;3;3;3;3;3;2;3;4;3;3;3;2;2;2;4;4;4;4;3;2;3;2;2;2;1;4;2;3;2;2;6;6;6;6;5;7;6;6;6;6;4;4;2;1;1;3;3;1;4;4;6;4;4;4;4;4;4;4;4;4;3;4;4;4;4;5;5;5;5;6;5;5;6;6;6;4;3;4;4;5;4;4;4;3;2;3;4;4;3;3;3;2;4;2.666666667;1.75;2.6;6;4;1.8;4.4;3.916666667;5.4;4;3.5
14;45;Mujer;Unión libre;Sin hijos;Posgrado;Urbana;3;Público;Entre 50 y 200 empleados;No;Provisionalidad;40;Entre 1 y 3 SMLV;Administrativo;No;Entre 15 a 20;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;10;3;4;3;3;4;3;3;3;3;3;3;3;4;3;4;4;4;4;4;4;3;3;4;2;3;4;4;4;4;4;4;4;4;5;5;6;6;5;6;4;5;6;4;4;4;4;4;4;4;4;4;6;5;5;5;5;2;1;1;1;1;2;1;1;1;2;2;1;6;6;6;5;6;6;6;6;6;4;2;1;1;2;2;4;5;5;5;5;5;4;3;3.333333333;3.25;3.142857143;4;3.75;3;3.75;4;5.333333333;4;4;5.2;1.333333333;5.7;1.6;4.5
15;35;Mujer;Soltero;Sin hijos;Técnico;Urbana;2;Público;Más de 500 empleados;No;Presentación de servicios;50;Entre 1 y 3 SMLV;Directivo;No;Entre 1 a 5;Entre 1 y 3 años;Presencial;Menos de 1 hora;17;4;4;3;1;1;3;2;4;5;4;4;4;4;4;4;3;3;4;4;5;4;1;1;2;3;3;2;2;4;4;4;4;3;2;4;5;4;2;6;6;6;4;4;6;4;4;1;1;3;1;1;1;1;1;3;3;2;1;2;2;1;1;1;2;2;1;2;2;7;7;6;6;7;7;7;7;6;7;2;3;3;2;2;2;3;3;3;3;4;2;2;3.666666667;1.75;4.142857143;3.333333333;4.25;1.333333333;2.5;3.8;4.333333333;4.5;1.4;1.8;1.583333333;6.7;2.4;2.75
16;33;Mujer;Casado;4;Posgrado;Urbana;3;Público;Entre 50 y 200 empleados;No;Carrera;41;Entre 1 y 3 SMLV;Administrativo;No;Más de 25;Entre 7 y 10 años;Presencial;Menos de 1 hora;39;1;2;1;4;4;5;4;2;3;2;2;2;3;2;4;3;3;4;5;5;5;3;3;3;3;3;4;3;1;2;2;2;2;5;5;6;5;6;6;6;5;5;6;2;2;3;6;6;6;6;6;6;6;4;4;4;2;3;3;2;3;2;3;3;2;3;3;2;4;4;4;5;4;4;4;5;4;5;3;4;2;1;3;4;4;3;2;3;2;3;3;1.333333333;4.25;2.285714286;3.333333333;4.75;3;3.25;1.8;5.444444444;3.25;6;4.8;2.583333333;4.3;2.6;3
17;37;Mujer;Unión libre;3;Profesional;Rural;3;Mixto;Entre 50 y 200 empleados;No;Presentación de servicios;44;Entre 1 y 3 SMLV;Administrativo;No;Menos de 1 año;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;8;3;3;2;3;3;3;3;1;3;2;3;2;2;3;3;3;3;5;5;5;5;3;3;2;3;4;4;4;2;3;2;2;2;6;6;6;5;6;6;6;4;5;6;3;3;3;3;4;2;2;3;2;4;2;2;2;1;1;1;2;1;2;2;1;1;1;1;1;6;7;6;6;6;6;6;6;6;6;2;3;2;3;3;1;1;1;2;1;2;1;1;2.666666667;3;2.285714286;3;5;2.666666667;3.75;2.2;5.555555556;3.75;2.8;2.4;1.25;6.1;2.6;1.25
18;39;Mujer;Unión libre;4;Posgrado;Urbana;2;Mixto;Entre 50 y 200 empleados;Si;Término fijo;44;Entre 1 y 3 SMLV;Directivo;No;Entre 1 a 5;Entre 1 y 3 años;Presencial;Menos de 1 hora;5;4;5;4;2;3;4;3;5;4;4;4;5;4;4;4;3;4;5;4;4;5;2;2;3;4;4;4;5;2;1;2;2;1;4;5;6;5;4;5;6;5;6;4;2;2;2;3;2;1;2;3;4;4;6;6;6;2;1;2;1;2;2;1;1;2;2;2;2;4;5;5;4;5;4;5;5;4;4;5;4;4;5;4;2;2;1;1;2;1;1;2;4.333333333;3;4.285714286;3.666666667;4.5;2.333333333;4.25;1.6;5.111111111;2.5;2.2;5.2;1.666666667;4.5;4.4;1.5
19;43;Hombre;Unión libre;2;Posgrado;Urbana;4;Público;Entre 200 y 500 empleados;Si;Carrera;46;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Más de 10 años;Presencial;Entre 1 y 2 horas;73;5;2;4;3;2;2;3;4;5;5;4;5;5;5;4;4;5;4;4;3;4;2;2;3;5;4;5;5;5;4;3;3;3;6;2;6;4;4;4;4;6;6;4;2;4;4;1;3;3;1;1;2;3;3;3;3;1;1;1;2;1;1;2;1;1;1;1;1;6;7;5;6;6;6;6;6;6;7;4;4;4;2;4;4;3;4;4;5;4;3;5;3.666666667;2.5;4.714285714;4.333333333;3.75;2.333333333;4.75;3.6;4.666666667;3.5;1.8;2.8;1.166666667;6.1;3.6;4
20;55;Hombre;Soltero;2;Bachiller;Urbana;4;Público;Entre 10 y 50 empleados;No;Carrera;46;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Entre 3 y 7 años;Presencial;Entre 1 y 2 horas;43;4;4;4;2;1;2;2;3;3;3;3;4;4;3;3;4;4;4;5;4;5;1;3;3;3;3;4;3;3;3;2;3;2;5;7;5;7;5;5;7;7;7;7;1;1;1;3;4;2;3;3;1;1;1;1;1;2;2;1;2;1;2;3;2;2;2;2;2;7;7;6;7;6;7;6;6;7;7;2;1;2;1;1;3;3;5;3;2;2;4;4;4;1.75;3.285714286;3.666666667;4.5;2.333333333;3.25;2.6;6.111111111;2.5;3;1;1.916666667;6.6;1.4;3.25
21;29;Hombre;Soltero;1;Profesional;Urbana;4;Público;Entre 200 y 500 empleados;No;Otro;43;Entre 1 y 3 SMLV;Administrativo;No;Entre 15 a 20;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;10;5;4;5;3;3;3;4;4;4;4;5;5;4;5;3;3;3;4;5;4;4;2;1;2;3;4;3;4;4;4;5;4;5;4;4;4;4;2;4;4;6;2;2;6;6;6;3;3;3;3;3;4;2;2;3;3;3;2;2;2;2;3;2;2;2;3;2;3;6;7;7;7;6;7;6;6;7;6;1;1;2;1;2;3;3;3;3;2;3;2;2;4.666666667;3.25;4.428571429;3;4.25;1.666666667;3.5;4.4;3.777777778;5;3;2.8;2.333333333;6.5;1.4;2.625
22;40;Hombre;Casado;1;Profesional;Urbana;1;Público;Entre 200 y 500 empleados;No;Carrera;54;Entre 3 y 5 SMLV;Administrativo;No;Entre 10 a 15;Entre 3 y 7 años;Presencial;Entre 1 y 2 horas;12;4;5;4;2;1;2;2;4;5;5;4;4;5;5;4;5;5;4;4;5;5;1;1;2;4;4;4;5;3;3;3;3;3;2;6;6;4;6;6;5;5;4;4;4;4;4;1;1;3;3;1;2;3;3;2;3;2;1;1;1;1;1;1;1;1;1;1;1;6;7;6;5;6;6;6;6;5;6;2;2;1;1;1;2;2;3;1;2;3;3;4;4.333333333;1.75;4.571428571;4.666666667;4.5;1.333333333;4.25;3;4.888888889;4;1.8;2.6;1.083333333;5.9;1.4;2.5
23;37;Mujer;Unión libre;1;Profesional;Urbana;3;Mixto;Entre 200 y 500 empleados;No;Presentación de servicios;57;Entre 1 y 3 SMLV;Administrativo;No;Más de 25;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;6;5;4;5;2;2;1;2;3;3;3;3;3;3;3;4;3;3;5;5;5;5;3;3;3;3;3;3;3;4;4;4;5;4;7;5;5;5;7;7;5;5;7;7;3;1;1;1;3;1;3;1;3;3;4;2;2;1;1;1;1;1;2;1;1;1;1;1;1;5;6;5;6;5;6;5;6;5;6;2;1;1;3;2;1;1;1;1;1;1;1;2;4.666666667;1.75;3;3.333333333;5;3;3;4.2;5.888888889;3;1.8;2.8;1.083333333;5.5;1.8;1.125
24;26;Hombre;Unión libre;2;Profesional;Rural;4;Público;Entre 50 y 200 empleados;No;Carrera;37;Entre 1 y 3 SMLV;Administrativo;No;Entre 20 a 25;Entre 3 y 7 años;Presencial;Menos de 1 hora;5;2;1;1;5;5;5;5;1;2;1;1;1;2;2;4;5;4;5;5;5;5;4;4;3;1;1;1;1;3;3;2;2;2;4;4;4;4;4;4;2;4;4;4;6;4;6;1;3;1;1;3;1;1;3;2;1;3;4;5;5;4;4;5;3;4;4;5;4;2;1;2;3;2;2;3;2;2;2;5;5;5;4;5;5;3;5;4;5;5;3;4;1.333333333;5;1.428571429;4.333333333;5;3.666666667;1;2.4;3.777777778;5;1.8;1.6;4.166666667;2.1;4.8;4.25
25;55;Mujer;Unión libre;1;Posgrado;Urbana;4;Mixto;Entre 50 y 200 empleados;No;Presentación de servicios;32;Entre 3 y 5 SMLV;Administrativo;No;Entre 20 a 25;Entre 1 y 3 años;Presencial;Menos de 1 hora;21;2;2;2;4;3;4;2;4;3;3;3;4;4;4;3;3;3;3;5;4;4;4;3;3;2;2;2;2;3;3;3;3;3;4;6;4;6;4;6;6;4;6;4;2;4;2;4;2;4;2;2;4;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;5;6;6;6;6;6;5;7;6;7;1;2;1;2;1;1;2;1;1;2;1;2;2;2;3.25;3.571428571;3;4;3.333333333;2;3;5.111111111;3;2.8;2.4;1.75;6;1.4;1.5
26;46;Hombre;Casado;2;Profesional;Urbana;1;Mixto;Entre 10 y 50 empleados;Si;Libre nombramiento y remocion;41;Entre 1 y 3 SMLV;Administrativo;No;Entre 1 a 5;Entre 3 y 7 años;Presencial;Menos de 1 hora;28;2;2;2;5;5;4;4;2;2;2;2;3;2;2;2;2;3;5;5;5;4;3;4;2;1;2;1;1;3;3;4;2;3;4;6;6;4;4;2;6;4;6;2;5;5;6;1;3;2;3;3;3;4;2;4;3;2;2;3;2;2;3;3;2;3;3;2;2;5;5;5;4;6;4;6;5;5;5;4;6;3;6;5;2;2;4;2;2;3;3;2;2;4.5;2.142857143;2.333333333;4.75;3;1.25;3;4.666666667;4.5;2.4;3.2;2.416666667;5;4.8;2.5
27;42;Mujer;Soltero;2;Profesional;Urbana;3;Mixto;Entre 10 y 50 empleados;No;Otro;52;Entre 1 y 3 SMLV;Administrativo;No;Entre 20 a 25;Entre 3 y 7 años;Presencial;Entre 1 y 2 horas;15;2;3;2;2;3;2;2;5;5;5;4;5;5;4;3;4;3;5;5;5;5;2;2;1;4;4;4;4;5;5;4;5;5;7;7;7;5;6;7;5;5;5;6;2;4;2;1;3;1;1;3;2;2;3;3;3;2;2;2;2;1;2;2;3;2;2;2;3;7;6;7;7;6;7;7;7;7;7;3;4;3;3;4;2;1;1;3;2;1;2;2;2.333333333;2.25;4.714285714;3.333333333;5;1.666666667;4;4.8;6;3.5;1.8;2.6;2.083333333;6.8;3.4;1.75
28;29;Mujer;Soltero;Sin hijos;Profesional;Urbana;3;Público;Entre 200 y 500 empleados;No;Presentación de servicios;29;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Menos de 1 año;Presencial;Menos de 1 hora;45;4;4;4;3;3;2;3;4;3;4;4;4;4;4;4;4;4;4;4;5;4;3;4;3;2;3;3;3;5;5;5;5;4;5;5;5;5;5;7;5;5;5;4;4;2;4;2;2;3;2;2;4;2;4;2;6;1;2;2;1;2;2;1;2;1;1;2;1;6;6;7;6;6;7;7;6;6;7;4;4;2;3;3;1;2;2;1;2;1;1;2;4;2.75;3.857142857;4;4.25;3.333333333;2.75;4.8;5.222222222;3.5;2.2;3.6;1.5;6.4;3.2;1.5
29;21;Hombre;Soltero;Sin hijos;Posgrado;Urbana;4;Público;Más de 500 empleados;No;Otro;56;Entre 3 y 5 SMLV;Administrativo;No;Entre 1 a 5;Entre 1 y 3 años;Presencial;Menos de 1 hora;13;5;4;5;1;2;1;1;4;4;3;4;4;4;3;3;4;3;4;5;4;4;2;2;1;3;3;3;3;3;4;4;4;3;6;5;6;6;6;6;6;5;6;2;2;2;6;4;2;3;2;2;4;4;6;4;2;2;3;3;3;3;3;3;3;3;3;3;3;6;5;6;7;6;5;6;6;5;6;3;3;3;3;2;1;1;2;2;1;1;1;2;4.666666667;1.25;3.714285714;3.333333333;4.25;1.666666667;3;3.6;5.777777778;3;2.6;4;2.916666667;5.8;2.8;1.375
30;45;Mujer;Unión libre;Sin hijos;Posgrado;Urbana;3;Público;Entre 50 y 200 empleados;Si;Presentación de servicios;35;Entre 1 y 3 SMLV;Administrativo;No;Menos de 1 año;Entre 1 y 3 años;Híbrido;Menos de 1 hora;18;1;2;1;5;5;5;5;2;2;1;1;1;2;1;5;4;3;5;4;4;5;4;4;4;2;2;2;2;3;3;3;2;2;3;2;4;3;2;2;4;2;2;1;7;7;7;3;2;3;3;2;6;6;4;6;6;4;4;4;4;4;3;4;3;3;3;4;4;5;5;5;5;5;5;5;5;6;6;4;4;4;4;4;5;6;5;5;5;4;5;6;1.333333333;5;1.428571429;4;4.5;4;2;2.6;2.666666667;5.5;2.6;5.6;3.666666667;5.2;4;5.125
31;36;Mujer;Viudo;1;Posgrado;Urbana;3;Público;Entre 50 y 200 empleados;Si;Libre nombramiento y remocion;38;Entre 3 y 5 SMLV;Administrativo;Si;Entre 1 a 5;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;22;2;1;2;4;4;3;3;3;3;2;3;2;3;3;4;4;4;4;5;4;4;3;2;3;3;2;3;3;3;3;3;3;3;6;6;2;4;4;4;6;2;4;2;6;5;4;3;2;3;2;2;4;4;4;3;4;4;4;4;3;4;4;4;4;3;4;4;4;5;4;5;5;4;4;6;4;5;4;5;5;6;5;4;4;5;4;2;4;5;4;5;1.666666667;3.5;2.714285714;4;4.25;2.666666667;2.75;3;4.222222222;4.25;2.4;3.8;3.833333333;4.6;5;4.125
32;53;Mujer;Casado;2;Tecnológico;Urbana;2;Mixto;Más de 500 empleados;No;Presentación de servicios;47;Entre 1 y 3 SMLV;Operativo;No;Entre 10 a 15;Entre 1 y 3 años;Presencial;Menos de 1 hora;48;3;4;5;3;3;3;3;3;2;4;4;3;3;3;5;5;5;5;5;5;4;3;3;4;2;2;1;3;2;4;2;2;2;4;5;4;6;4;6;5;6;6;2;6;6;4;3;1;3;3;3;2;3;3;2;3;2;2;3;2;2;3;2;1;3;2;2;2;6;7;7;7;6;6;5;6;7;7;3;3;2;3;3;1;1;2;1;2;3;1;1;4;3;3.142857143;5;4.75;3.333333333;2;2.4;5.111111111;4.5;2.6;2.6;2.166666667;6.4;2.8;1.5
33;36;Hombre;Casado;Sin hijos;Profesional;Urbana;3;Público;Entre 50 y 200 empleados;Si;Carrera;51;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Entre 1 y 3 años;Presencial;Menos de 1 hora;54;2;2;2;4;5;4;4;3;3;3;3;3;2;3;4;4;4;5;4;4;4;4;3;4;2;2;2;2;4;3;4;3;4;4;4;2;4;2;2;4;4;6;2;7;5;5;1;3;2;2;2;5;4;5;5;5;3;3;3;2;3;2;3;2;4;3;3;3;5;3;4;5;4;4;4;4;4;4;4;2;2;3;3;3;4;4;4;3;4;4;3;2;4.25;2.857142857;4;4.25;3.666666667;2;3.6;3.555555556;4.75;2;4.8;2.833333333;4.1;2.8;3.625
34;36;Mujer;Soltero;1;Profesional;Urbana;3;Público;Entre 50 y 200 empleados;Si;Libre nombramiento y remocion;42;Entre 1 y 3 SMLV;Administrativo;Si;Menos de 1 año;Entre 3 y 7 años;Híbrido;Menos de 1 hora;7;2;3;2;4;3;3;4;3;3;2;3;3;3;3;4;3;5;3;3;2;2;4;3;4;2;1;2;2;2;2;1;2;3;6;4;6;6;6;4;6;6;4;6;4;4;6;3;2;3;3;3;2;3;2;4;2;3;2;2;2;3;3;3;3;3;4;2;4;3;2;3;3;3;4;3;3;3;2;1;2;1;1;1;4;4;4;4;4;5;4;4;2.333333333;3.5;2.857142857;4;2.5;3.666666667;1.75;2;5.333333333;5;2.8;2.6;2.833333333;2.9;1.2;4.125
